================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
          create_aot_dispatcher_function (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us       29.884s        44.90%       29.884s        3.320s           0 b           0 b           0 b           0 b             9            --  
                       GraphLowering.run (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us       12.465s        18.73%       12.465s        1.385s           0 b           0 b           0 b           0 b             9            --  
         _compile.<locals>.compile_inner (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us       10.407s        15.64%       10.407s        1.156s           0 b           0 b           0 b           0 b             9            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us        6.011s         9.03%        6.011s     667.845ms           0 b           0 b           0 b           0 b             9            --  
                        compile_fx_inner (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us        4.255s         6.39%        4.255s     472.747ms           0 b           0 b           0 b           0 b             9            --  
                                          ProfilerStep*         0.00%     238.000us       100.00%      119.687s       11.969s       0.000us         0.00%        2.688s     268.808ms           0 b           0 b       4.07 Mb           0 b            10            --  
                                 zo_gradient_estimation         0.00%       1.461ms        99.83%      119.485s       11.949s       0.000us         0.00%        2.659s     265.922ms           0 b           0 b       6.66 Mb     -14.50 Kb            10            --  
                                           zo_forward_1         0.05%      54.482ms        99.14%      118.657s       11.866s       0.000us         0.00%        2.534s     253.406ms           0 b           8 b     -93.66 Mb    -237.08 Mb            10            --  
         _compile.<locals>.compile_inner (dynamo_timed)         8.08%        9.671s        99.01%      118.505s       13.167s       0.000us         0.00%        2.520s     279.988ms           0 b     -46.12 Mb    -192.13 Mb    -192.38 Mb             9            --  
          OutputGraph.call_user_compiler (dynamo_timed)         1.27%        1.526s        89.05%      106.577s       11.842s       0.000us         0.00%        2.457s     273.053ms           0 b           0 b     144.00 Kb           0 b             9            --  
          create_aot_dispatcher_function (dynamo_timed)         5.76%        6.893s        87.77%      105.051s       11.672s       0.000us         0.00%        2.457s     273.053ms           0 b     -46.18 Kb     144.00 Kb    -223.00 Kb             9            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         5.41%        6.481s        61.05%       73.074s        8.119s       0.000us         0.00%        2.456s     272.841ms           0 b    -132.83 Kb     -41.00 Kb     -19.25 Gb             9            --  
                                            aten::fill_         0.20%     242.201ms         0.32%     383.661ms       9.568us        2.077s         3.12%        2.117s      52.797us       2.29 Kb       2.29 Kb           0 b           0 b         40098            --  
                                            aten::zero_         0.36%     430.386ms         0.68%     811.563ms      14.320us       0.000us         0.00%        2.117s      37.348us         338 b         338 b           0 b           0 b         56672            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        2.065s         3.10%        2.065s      76.003us           0 b           0 b           0 b           0 b         27169            --  
                                        training_step_8         0.00%     529.000us        12.21%       14.610s       14.610s       0.000us         0.00%        1.090s        1.090s           0 b           0 b     -15.18 Mb           0 b             1            --  
                                       training_step_11         0.00%     497.000us        11.71%       14.014s       14.014s       0.000us         0.00%     871.617ms     871.617ms           0 b           0 b     -27.08 Mb           0 b             1            --  
                                        training_step_7         0.00%     502.000us        10.95%       13.102s       13.102s       0.000us         0.00%     313.771ms     313.771ms           0 b           0 b      16.80 Mb           0 b             1            --  
                                        training_step_9         0.00%     500.000us        11.50%       13.766s       13.766s       0.000us         0.00%     303.552ms     303.552ms           0 b           0 b      -4.00 Mb           0 b             1            --  
                                       zo_perturb_-2eps         0.00%       0.000us         0.00%       0.000us       0.000us     243.919ms         0.37%     243.919ms      24.392ms           0 b           0 b           0 b           0 b            10            --  
                                        zo_perturb_+eps         0.00%       0.000us         0.00%       0.000us       0.000us     243.276ms         0.37%     243.276ms      24.328ms           0 b           0 b           0 b           0 b            10            --  
                                  zo_perturb_+eps_reset         0.00%       0.000us         0.00%       0.000us       0.000us     231.418ms         0.35%     231.418ms      23.142ms           0 b           0 b           0 b           0 b            10            --  
                                              zo_update         0.00%       0.000us         0.00%       0.000us       0.000us     190.592ms         0.29%     190.592ms      19.059ms           0 b           0 b           0 b           0 b            10            --  
                                            aten::addmm         1.77%        2.124s         5.63%        6.737s     365.892us      98.939ms         0.15%     132.627ms       7.203us           0 b         120 b       4.15 Gb       4.15 Gb         18413      9972.906  
                                           zo_forward_1         0.00%       0.000us         0.00%       0.000us       0.000us      95.720ms         0.14%      95.720ms       9.572ms           0 b           0 b           0 b           0 b            10            --  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us      91.258ms         0.14%      91.258ms       7.168us           0 b           0 b           0 b           0 b         12731            --  
                                           zo_forward_2         0.00%       0.000us         0.00%       0.000us       0.000us      87.877ms         0.13%      87.877ms       8.788ms           0 b           0 b           0 b           0 b            10            --  
                                       cudaLaunchKernel         0.38%     458.148ms         0.38%     458.148ms       3.450us      82.417ms         0.12%      82.554ms       0.622us           0 b           0 b           0 b           0 b        132786            --  
                                              aten::bmm         0.71%     849.504ms         1.53%        1.831s      97.586us      42.446ms         0.06%      72.190ms       3.848us           0 b           0 b       2.68 Gb       2.68 Gb         18758       161.515  
                                  cudaStreamIsCapturing         0.01%      15.730ms         0.01%      15.730ms       0.293us      62.344ms         0.09%      62.344ms       1.160us        -176 b        -176 b           0 b           0 b         53757            --  
                                          aten::normal_         0.07%      80.119ms         0.11%     131.517ms       8.433us      55.155ms         0.08%      57.208ms       3.668us           0 b           0 b           0 b           0 b         15596            --  
