step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
131,6.67968750,6.67187500,7.81250000e-03,191.37500000,183.62500000,7.75000000e+00
132,7.80078125,7.79687500,3.90625000e-03,-279.25000000,-281.25000000,2.00000000e+00
133,6.71875000,6.71484375,3.90625000e-03,31.25000000,33.18750000,1.93750000e+00
134,7.34375000,7.34375000,0.00000000e+00,-168.00000000,-160.12500000,7.87500000e+00
135,5.65625000,5.64843750,7.81250000e-03,-175.75000000,-171.87500000,3.87500000e+00
136,7.67968750,7.67968750,0.00000000e+00,74.18750000,74.18750000,0.00000000e+00
137,5.47656250,5.46093750,1.56250000e-02,-314.50000000,-316.50000000,2.00000000e+00
138,7.83593750,7.84375000,7.81250000e-03,-11.71875000,-17.57812500,5.85937500e+00
139,6.66406250,6.66796875,3.90625000e-03,-265.50000000,-269.50000000,4.00000000e+00
140,7.48828125,7.49609375,7.81250000e-03,9.76562500,9.76562500,0.00000000e+00
141,5.19531250,5.17187500,2.34375000e-02,207.00000000,207.00000000,0.00000000e+00
142,6.63281250,6.63281250,0.00000000e+00,-103.50000000,-97.62500000,5.87500000e+00
143,6.05859375,6.05468750,3.90625000e-03,3.90625000,-3.90625000,7.81250000e+00
144,5.64453125,5.63671875,7.81250000e-03,-314.50000000,-310.50000000,4.00000000e+00
145,6.15625000,6.15625000,0.00000000e+00,183.62500000,183.62500000,0.00000000e+00
146,7.42187500,7.42187500,0.00000000e+00,31.25000000,25.39062500,5.85937500e+00
147,7.55078125,7.53906250,1.17187500e-02,31.25000000,31.25000000,0.00000000e+00
148,5.55468750,5.55859375,3.90625000e-03,-281.25000000,-277.25000000,4.00000000e+00
149,7.17968750,7.17968750,0.00000000e+00,-195.25000000,-187.50000000,7.75000000e+00
150,5.32812500,5.32031250,7.81250000e-03,115.25000000,111.31250000,3.93750000e+00
151,5.03906250,5.01562500,2.34375000e-02,-169.87500000,-171.87500000,2.00000000e+00
152,6.15234375,6.14062500,1.17187500e-02,-25.39062500,-23.43750000,1.95312500e+00
