========================================================================================================================
PARAMETER SHAPES FOR ZO PERTURBATION AND UPDATE
========================================================================================================================

Model: facebook/opt-6.7b
Total trainable parameters: 516

No.    Parameter Name                                               Shape                            Elements  Memory (MB) Dtype          
240    model.decoder.layers.14.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
241    model.decoder.layers.14.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
242    model.decoder.layers.14.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
243    model.decoder.layers.14.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
244    model.decoder.layers.14.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
245    model.decoder.layers.15.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
246    model.decoder.layers.15.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
247    model.decoder.layers.15.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
248    model.decoder.layers.15.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
249    model.decoder.layers.15.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
250    model.decoder.layers.15.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
251    model.decoder.layers.15.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
252    model.decoder.layers.15.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
253    model.decoder.layers.15.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
254    model.decoder.layers.15.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
255    model.decoder.layers.15.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
256    model.decoder.layers.15.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
257    model.decoder.layers.15.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
258    model.decoder.layers.15.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
259    model.decoder.layers.15.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
260    model.decoder.layers.15.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
261    model.decoder.layers.16.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
262    model.decoder.layers.16.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
263    model.decoder.layers.16.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
