================================================================================
DiZO PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       zo_perturb_-2eps         0.08%     136.250ms         0.21%     359.192ms      35.919ms       0.000us         0.00%     220.215ms      22.021ms           0 b      14.12 Kb           0 b    -195.14 Gb            10            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us     210.887ms         0.20%     210.887ms      18.130us           0 b           0 b           0 b           0 b         11632            --  
                                  zo_perturb_+eps_reset         0.07%     128.182ms         0.20%     349.687ms      34.969ms       0.000us         0.00%     200.419ms      20.042ms           0 b      15.00 Kb           0 b    -194.88 Gb            10            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     167.529ms         0.16%     167.529ms       8.113us           0 b           0 b           0 b           0 b         20650            --  
                                              aten::add         1.00%        1.756s         1.44%        2.513s      88.629us     125.559ms         0.12%     152.152ms       5.367us     -10.28 Kb      -1.24 Kb     148.19 Gb     148.19 Gb         28350        82.426  
                                    zo_parameter_update         0.00%       2.081ms         0.15%     269.137ms      26.914ms       0.000us         0.00%     149.153ms      14.915ms           0 b           0 b           0 b     -50.00 Kb            10            --  
                                              zo_update         0.05%      93.671ms         0.15%     267.055ms      26.706ms       0.000us         0.00%     149.144ms      14.914ms           0 b       6.33 Kb      50.00 Kb    -147.96 Gb            10            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 174.815s
Self CUDA time total: 107.737s


--- Memory Usage ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         0.52%     905.611ms         0.80%        1.395s      32.562us     258.677ms         0.24%     311.760ms       7.277us     -51.68 Kb     -49.98 Kb     345.78 Gb     345.78 Gb         42842       187.252  
                                            aten::empty         0.25%     430.478ms         0.25%     433.088ms       5.304us       0.000us         0.00%       0.000us       0.000us     601.28 Kb     601.28 Kb     247.43 Gb     247.43 Gb         81649            --  
                                              aten::add         1.00%        1.756s         1.44%        2.513s      88.629us     125.559ms         0.12%     152.152ms       5.367us     -10.28 Kb      -1.24 Kb     148.19 Gb     148.19 Gb         28350        82.426  
                                              aten::sub         0.21%     366.552ms         0.35%     616.945ms      70.564us      42.005ms         0.04%      42.216ms       4.829us       2.29 Kb        -376 b      49.40 Gb      49.40 Gb          8743            --  
                                    aten::empty_strided         1.24%        2.165s         1.28%        2.234s       7.357us       0.000us         0.00%       0.000us       0.000us      54.93 Mb      54.93 Mb      26.07 Gb      26.07 Gb        303663            --  
                                            aten::addmm         1.66%        2.907s         5.23%        9.141s     372.871us     291.010ms         0.27%     395.967ms      16.151us           0 b          88 b      11.23 Gb      11.23 Gb         24516     72099.247  
                                              aten::cat         0.12%     217.288ms         0.16%     278.244ms      16.169us      62.165ms         0.06%      82.261ms       4.780us           0 b           0 b      10.88 Gb      10.88 Gb         17208            --  
                                              aten::bmm         0.71%        1.234s         1.46%        2.550s      84.154us      91.621ms         0.09%     122.534ms       4.044us           0 b           0 b       8.73 Gb       8.73 Gb         30303       522.172  
                                  Torch-Compiled Region         0.08%     132.430ms         4.50%        7.862s     393.097ms        1.346s         1.25%        6.493s     324.627ms           0 b           0 b     751.94 Mb     751.94 Mb            20            --  
