step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
102,6.53906250,6.53906250,0.00000000e+00,152.37500000,152.37500000,0.00000000e+00
103,5.37109375,5.37500000,3.90625000e-03,181.62500000,183.62500000,2.00000000e+00
104,4.87890625,4.88281250,3.90625000e-03,287.00000000,289.00000000,2.00000000e+00
105,4.64843750,4.64843750,0.00000000e+00,-95.68750000,-101.56250000,5.87500000e+00
106,5.67968750,5.69531250,1.56250000e-02,105.43750000,109.37500000,3.93750000e+00
107,8.09375000,8.10937500,1.56250000e-02,125.00000000,136.75000000,1.17500000e+01
108,5.95312500,5.95312500,0.00000000e+00,-160.12500000,-160.12500000,0.00000000e+00
109,7.29296875,7.29687500,3.90625000e-03,316.50000000,324.25000000,7.75000000e+00
110,7.27734375,7.27343750,3.90625000e-03,103.50000000,101.56250000,1.93750000e+00
111,5.21093750,5.21875000,7.81250000e-03,-236.37500000,-226.50000000,9.87500000e+00
112,6.78906250,6.79296875,3.90625000e-03,345.75000000,345.75000000,0.00000000e+00
113,7.32421875,7.32421875,0.00000000e+00,324.25000000,322.25000000,2.00000000e+00
114,7.12890625,7.13281250,3.90625000e-03,203.12500000,203.12500000,0.00000000e+00
115,8.07812500,8.07812500,0.00000000e+00,371.00000000,371.00000000,0.00000000e+00
116,4.81250000,4.79687500,1.56250000e-02,-58.59375000,-62.50000000,3.90625000e+00
117,4.55078125,4.55078125,0.00000000e+00,-23.43750000,-19.53125000,3.90625000e+00
118,6.07812500,6.07031250,7.81250000e-03,58.59375000,50.78125000,7.81250000e+00
119,6.95312500,6.96093750,7.81250000e-03,85.93750000,91.81250000,5.87500000e+00
120,5.70312500,5.70312500,0.00000000e+00,125.00000000,117.18750000,7.81250000e+00
121,4.84765625,4.85156250,3.90625000e-03,330.00000000,336.00000000,6.00000000e+00
122,6.93359375,6.92187500,1.17187500e-02,-13.67187500,-11.71875000,1.95312500e+00
123,6.30468750,6.29687500,7.81250000e-03,-93.75000000,-101.56250000,7.81250000e+00
124,6.46875000,6.47656250,7.81250000e-03,105.43750000,105.43750000,0.00000000e+00
125,5.62500000,5.63281250,7.81250000e-03,-132.75000000,-132.75000000,0.00000000e+00
126,10.82031250,10.82812500,7.81250000e-03,636.50000000,636.50000000,0.00000000e+00
127,7.70312500,7.71093750,7.81250000e-03,144.50000000,154.25000000,9.75000000e+00
128,4.42968750,4.42578125,3.90625000e-03,-281.25000000,-283.25000000,2.00000000e+00
129,4.02343750,4.02343750,0.00000000e+00,-11.71875000,-15.62500000,3.90625000e+00
130,5.89843750,5.88281250,1.56250000e-02,48.81250000,42.96875000,5.84375000e+00
131,5.15625000,5.14843750,7.81250000e-03,-373.00000000,-371.00000000,2.00000000e+00
132,7.26562500,7.26562500,0.00000000e+00,-62.50000000,-54.68750000,7.81250000e+00
133,6.82031250,6.82812500,7.81250000e-03,-33.18750000,-29.29687500,3.89062500e+00
134,6.40234375,6.41406250,1.17187500e-02,-177.75000000,-168.00000000,9.75000000e+00
135,5.89062500,5.89062500,0.00000000e+00,82.00000000,80.06250000,1.93750000e+00
136,6.95312500,6.93750000,1.56250000e-02,183.62500000,183.62500000,0.00000000e+00
137,6.03125000,6.03125000,0.00000000e+00,789.00000000,785.00000000,4.00000000e+00
138,8.13281250,8.10937500,2.34375000e-02,388.75000000,379.00000000,9.75000000e+00
139,6.63671875,6.64062500,3.90625000e-03,293.00000000,296.75000000,3.75000000e+00
140,7.94531250,7.93359375,1.17187500e-02,164.00000000,158.25000000,5.75000000e+00
141,4.70312500,4.71875000,1.56250000e-02,-298.75000000,-298.75000000,0.00000000e+00
142,6.34375000,6.33593750,7.81250000e-03,128.87500000,117.18750000,1.16875000e+01
143,6.51562500,6.50781250,7.81250000e-03,70.31250000,66.37500000,3.93750000e+00
