================================================================================
DiZO PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::dropout         0.20%     168.474ms         0.56%     478.808ms     332.506us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1440            --  
                                         aten::_softmax         0.12%      99.534ms         0.54%     461.146ms       1.419ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -23.00 Kb           0 b           325            --  
                                          aten::maximum         0.21%     179.448ms         0.51%     443.042ms     456.744us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           970            --  
                 WrapperCodeGen.generate (dynamo_timed)         0.46%     391.587ms         0.46%     391.587ms      78.317ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                                              aten::sub         0.23%     199.779ms         0.42%     359.551ms      80.617us      52.249ms         0.12%      52.356ms      11.739us        -504 b        -248 b      62.01 Gb      62.01 Gb          4460            --  
                                              aten::max         0.11%      93.535ms         0.40%     347.977ms     724.952us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           480            --  
                                         prims::view_of         0.30%     261.734ms         0.39%     334.337ms      16.759us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         19950            --  
                                       aten::lift_fresh         0.19%     166.737ms         0.35%     299.823ms     203.961us       0.000us         0.00%     956.000us       0.650us          96 b          96 b     319.50 Kb           0 b          1470            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 86.042s
Self CUDA time total: 44.187s


--- CUDA Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
          create_aot_dispatcher_function (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us       21.711s        49.13%       21.711s        4.342s           0 b           0 b           0 b           0 b             5            --  
                       GraphLowering.run (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us        9.676s        21.90%        9.676s        1.935s           0 b           0 b           0 b           0 b             5            --  
         _compile.<locals>.compile_inner (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us        7.301s        16.52%        7.301s        1.460s           0 b           0 b           0 b           0 b             5            --  
                        compile_fx_inner (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us        3.167s         7.17%        3.167s     633.437ms           0 b           0 b           0 b           0 b             5            --  
                                          ProfilerStep*         0.00%     194.000us       100.00%       86.042s       17.208s       0.000us         0.00%        1.136s     227.273ms           0 b           0 b       6.16 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.00%     928.000us        99.59%       85.689s       17.138s       0.000us         0.00%     937.831ms     187.566ms           0 b           0 b       6.16 Mb      -7.50 Kb             5            --  
                                          aten::normal_         0.06%      53.163ms         0.12%     101.823ms       9.867us     407.885ms         0.92%     429.970ms      41.664us           0 b           0 b           0 b           0 b         10320            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     420.656ms         0.95%     420.656ms      39.502us           0 b           0 b           0 b           0 b         10649            --  
                                           aten::normal         0.04%      32.384ms         0.19%     160.667ms      15.569us       0.000us         0.00%     393.622ms      38.142us           0 b           0 b     248.05 Gb           0 b         10320            --  
                                              aten::mul         0.56%     479.285ms         0.88%     761.055ms      35.104us     304.620ms         0.69%     325.438ms      15.011us     -30.16 Kb     -28.66 Kb     434.08 Gb     434.08 Gb         21680       234.918  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     310.053ms         0.70%     310.053ms      16.861us           0 b           0 b           0 b           0 b         18389            --  
                                        zo_perturb_+eps         0.07%      59.460ms         0.19%     165.453ms      33.091ms       0.000us         0.00%     263.796ms      52.759ms           0 b       7.81 Kb           0 b    -238.33 Gb             5            --  
                                        zo_perturb_+eps         0.00%       0.000us         0.00%       0.000us       0.000us     261.388ms         0.59%     261.388ms      52.278ms           0 b           0 b           0 b           0 b             5            --  
                                  zo_perturb_+eps_reset         0.00%       0.000us         0.00%       0.000us       0.000us     261.179ms         0.59%     261.179ms      52.236ms           0 b           0 b           0 b           0 b             5            --  
                                       zo_perturb_-2eps         0.00%       0.000us         0.00%       0.000us       0.000us     260.338ms         0.59%     260.338ms      52.068ms           0 b           0 b           0 b           0 b             5            --  
                                       zo_perturb_-2eps         0.07%      56.510ms         0.18%     156.772ms      31.354ms       0.000us         0.00%     258.071ms      51.614ms           0 b       8.17 Kb           0 b    -237.67 Gb             5            --  
                                  zo_perturb_+eps_reset         0.06%      52.575ms         0.18%     153.025ms      30.605ms       0.000us         0.00%     252.317ms      50.463ms           0 b       8.03 Kb           0 b    -236.42 Gb             5            --  
                                        training_step_2         0.00%     597.000us        19.99%       17.204s       17.204s       0.000us         0.00%     242.316ms     242.316ms           0 b           0 b       5.40 Mb           0 b             1            --  
                                        training_step_6         0.00%     656.000us        19.68%       16.934s       16.934s       0.000us         0.00%     233.194ms     233.194ms           0 b           0 b      -3.81 Mb           0 b             1            --  
                                        training_step_3         0.00%     659.000us        19.61%       16.869s       16.869s       0.000us         0.00%     232.582ms     232.582ms           0 b           0 b       2.27 Mb           0 b             1            --  
                                        training_step_5         0.00%     594.000us        19.78%       17.015s       17.015s       0.000us         0.00%     221.929ms     221.929ms           0 b           0 b     -14.58 Mb           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     214.347ms         0.49%     214.347ms      20.117us           0 b           0 b           0 b           0 b         10655            --  
                                              zo_update         0.00%       0.000us         0.00%       0.000us       0.000us     212.267ms         0.48%     212.267ms      42.453ms           0 b           0 b           0 b           0 b             5            --  
                                        training_step_4         0.00%     608.000us        20.94%       18.020s       18.020s       0.000us         0.00%     206.343ms     206.343ms           0 b           0 b      16.88 Mb           0 b             1            --  
                                    zo_parameter_update         0.00%     948.000us         0.21%     184.727ms      36.945ms       0.000us         0.00%     198.496ms      39.699ms           0 b           0 b           0 b     -40.00 Kb             5            --  
                                              zo_update         0.05%      40.543ms         0.21%     183.779ms      36.756ms       0.000us         0.00%     198.496ms      39.699ms           0 b       3.64 Kb      40.00 Kb    -180.22 Gb             5            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us     193.767ms         0.44%     193.767ms      38.753ms           0 b           0 b           0 b           0 b             5            --  
                                              aten::add         1.12%     963.064ms         1.59%        1.372s      92.142us     155.543ms         0.35%     164.939ms      11.077us      -5.59 Kb        -688 b     186.04 Gb     186.04 Gb         14890       103.119  
                                           zo_forward_1         0.05%      44.043ms        98.86%       85.064s       17.013s       0.000us         0.00%     110.387ms      22.077ms           0 b           0 b     -54.82 Mb    -391.14 Mb             5            --  
                                  Torch-Compiled Region         0.07%      56.000ms         0.16%     135.946ms      13.595ms       0.000us         0.00%     107.155ms      10.716ms           0 b           0 b     764.21 Mb     764.21 Mb            10            --  
                                               aten::mm         0.59%     508.127ms         1.80%        1.546s     310.422us      64.884ms         0.15%      86.983ms      17.466us           0 b           0 b           0 b           0 b          4980     46247.288  
                                           zo_forward_1         0.00%       0.000us         0.00%       0.000us       0.000us      74.500ms         0.17%      74.500ms      14.900ms           0 b           0 b           0 b           0 b             5            --  
         _compile.<locals>.compile_inner (dynamo_timed)         7.74%        6.657s        98.72%       84.943s       16.989s       0.000us         0.00%      55.817ms      11.163ms           0 b     -33.82 Mb    -116.63 Mb    -116.75 Mb             5            --  
                                  cudaStreamIsCapturing         0.01%      12.178ms         0.01%      12.178ms       0.318us      54.343ms         0.12%      54.343ms       1.420us           0 b           0 b           0 b           0 b         38271            --  
                                           zo_forward_2         0.01%       6.366ms         0.08%      70.968ms      14.194ms       0.000us         0.00%      53.234ms      10.647ms           0 b         -40 b      60.99 Mb    -467.76 Mb             5            --  
                                              aten::sub         0.23%     199.779ms         0.42%     359.551ms      80.617us      52.249ms         0.12%      52.356ms      11.739us        -504 b        -248 b      62.01 Gb      62.01 Gb          4460            --  
                                       cudaLaunchKernel         0.21%     177.581ms         0.21%     177.581ms       4.416us      43.678ms         0.10%      45.224ms       1.125us           0 b           0 b           0 b           0 b         40215            --  
                                           zo_forward_2         0.00%       0.000us         0.00%       0.000us       0.000us      43.093ms         0.10%      43.093ms       8.619ms           0 b           0 b           0 b           0 b             5            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us      21.347ms         0.05%      21.347ms      20.847us           0 b           0 b           0 b           0 b          1024            --  
