================================================================================
DiZO PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::cumsum         0.01%     263.000us         0.02%     370.000us      18.500us      39.000us         0.00%      48.000us       2.400us           0 b           0 b      20.00 Kb      20.00 Kb            20            --  
                                 aten::nll_loss_forward         0.02%     314.000us         0.02%     422.000us      21.100us      47.000us         0.00%      47.000us       2.350us           0 b           0 b      20.00 Kb      20.00 Kb            20            --  
                                               aten::lt         0.01%     270.000us         0.02%     380.000us      19.000us      40.000us         0.00%      49.000us       2.450us           0 b           0 b      19.00 Kb      19.00 Kb            20            --  
                                               aten::eq         0.02%     330.000us         0.02%     437.000us      21.850us      20.000us         0.00%      20.000us       1.000us           0 b           0 b      10.00 Kb      10.00 Kb            20            --  
                                              aten::div         0.01%     121.000us         0.01%     181.000us      18.100us      10.000us         0.00%      29.000us       2.900us           0 b           0 b       5.00 Kb       5.00 Kb            10            --  
                                           aten::arange         0.01%     269.000us         0.04%     817.000us      20.425us       8.000us         0.00%      24.000us       0.600us           0 b           0 b      20.00 Kb         512 b            40            --  
                                          ProfilerStep*         0.01%     235.000us       100.00%        2.010s     201.048ms       0.000us         0.00%     837.503ms      83.750ms           0 b           0 b      43.32 Mb           0 b            10            --  
                                        training_step_2         0.02%     462.000us         9.67%     194.329ms     194.329ms       0.000us         0.00%     122.688ms     122.688ms           0 b           0 b      12.77 Mb           0 b             1            --  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.06%       1.155ms         0.10%       1.920ms     192.000us       0.000us         0.00%       0.000us       0.000us      15.88 Kb           0 b           0 b           0 b            10            --  
                                             aten::full         0.01%     233.000us         0.02%     502.000us      12.550us       0.000us         0.00%       7.000us       0.175us      15.88 Kb       3.47 Kb      63.00 Kb           0 b            40            --  
