step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
155,4.55468750,4.56250000,7.81250000e-03,105.43750000,109.37500000,3.93750000e+00
156,5.10937500,5.09765625,1.17187500e-02,-82.00000000,-85.93750000,3.93750000e+00
157,8.03125000,8.03125000,0.00000000e+00,109.37500000,99.62500000,9.75000000e+00
158,6.17968750,6.18750000,7.81250000e-03,-156.25000000,-156.25000000,0.00000000e+00
159,6.67968750,6.64062500,3.90625000e-02,410.25000000,398.50000000,1.17500000e+01
160,6.80468750,6.81640625,1.17187500e-02,-445.25000000,-439.50000000,5.75000000e+00
161,5.33593750,5.35937500,2.34375000e-02,-146.50000000,-136.75000000,9.75000000e+00
162,6.28906250,6.25000000,3.90625000e-02,-164.00000000,-185.50000000,2.15000000e+01
163,6.44531250,6.42578125,1.95312500e-02,136.75000000,119.12500000,1.76250000e+01
164,6.23437500,6.27734375,4.29687500e-02,-250.00000000,-226.50000000,2.35000000e+01
165,7.88281250,7.88671875,3.90625000e-03,328.00000000,326.25000000,1.75000000e+00
166,5.07421875,5.07031250,3.90625000e-03,-341.75000000,-341.75000000,0.00000000e+00
167,4.21484375,4.21875000,3.90625000e-03,-101.56250000,-105.43750000,3.87500000e+00
168,5.67968750,5.65625000,2.34375000e-02,-293.00000000,-304.75000000,1.17500000e+01
169,6.17968750,6.19921875,1.95312500e-02,-70.31250000,-56.62500000,1.36875000e+01
170,5.40625000,5.40625000,0.00000000e+00,11.71875000,23.43750000,1.17187500e+01
171,4.00781250,4.01171875,3.90625000e-03,361.25000000,368.25000000,7.00000000e+00
172,5.81250000,5.81640625,3.90625000e-03,218.75000000,220.75000000,2.00000000e+00
173,5.78515625,5.78125000,3.90625000e-03,-205.12500000,-207.00000000,1.87500000e+00
174,6.12890625,6.12500000,3.90625000e-03,84.00000000,82.00000000,2.00000000e+00
175,6.61718750,6.63281250,1.56250000e-02,382.75000000,390.50000000,7.75000000e+00
176,11.82812500,11.83593750,7.81250000e-03,230.50000000,242.12500000,1.16250000e+01
177,7.67187500,7.67968750,7.81250000e-03,-187.50000000,-179.62500000,7.87500000e+00
178,4.11328125,4.12109375,7.81250000e-03,125.00000000,135.75000000,1.07500000e+01
179,4.32421875,4.31640625,7.81250000e-03,-97.62500000,-107.43750000,9.81250000e+00
180,5.15625000,5.15625000,0.00000000e+00,183.62500000,191.37500000,7.75000000e+00
181,5.64843750,5.61718750,3.12500000e-02,-250.00000000,-267.50000000,1.75000000e+01
182,7.15625000,7.15625000,0.00000000e+00,-3.90625000,1.95312500,5.85937500e+00
183,6.12500000,6.11718750,7.81250000e-03,132.75000000,136.75000000,4.00000000e+00
184,5.55859375,5.54296875,1.56250000e-02,-560.50000000,-586.00000000,2.55000000e+01
185,4.81250000,4.80859375,3.90625000e-03,-441.50000000,-443.25000000,1.75000000e+00
186,6.12500000,6.11328125,1.17187500e-02,160.12500000,158.25000000,1.87500000e+00
187,5.04687500,5.08593750,3.90625000e-02,433.50000000,461.00000000,2.75000000e+01
188,6.75000000,6.75781250,7.81250000e-03,42.96875000,42.96875000,0.00000000e+00
189,6.21093750,6.20703125,3.90625000e-03,-19.53125000,-13.67187500,5.85937500e+00
190,7.48437500,7.49609375,1.17187500e-02,291.00000000,310.50000000,1.95000000e+01
191,4.21093750,4.22265625,1.17187500e-02,-175.75000000,-171.87500000,3.87500000e+00
192,5.79687500,5.78906250,7.81250000e-03,93.75000000,99.62500000,5.87500000e+00
193,4.70312500,4.71093750,7.81250000e-03,-590.00000000,-326.25000000,2.63750000e+02
194,4.23046875,4.22656250,3.90625000e-03,-154.25000000,-154.25000000,0.00000000e+00
195,6.87890625,6.87109375,7.81250000e-03,244.12500000,244.12500000,0.00000000e+00
196,7.10937500,7.10937500,0.00000000e+00,269.50000000,265.50000000,4.00000000e+00
197,6.83984375,6.81250000,2.73437500e-02,400.50000000,400.50000000,0.00000000e+00
198,5.05468750,5.05468750,0.00000000e+00,-629.00000000,-642.50000000,1.35000000e+01
199,5.88281250,5.84375000,3.90625000e-02,144.50000000,136.75000000,7.75000000e+00
200,4.37109375,4.39843750,2.73437500e-02,166.00000000,187.50000000,2.15000000e+01
201,4.88281250,4.89843750,1.56250000e-02,214.87500000,220.75000000,5.87500000e+00
202,5.76171875,5.75000000,1.17187500e-02,142.62500000,138.62500000,4.00000000e+00
203,4.52734375,4.55468750,2.73437500e-02,52.71875000,68.37500000,1.56562500e+01
204,4.57812500,4.58593750,7.81250000e-03,109.37500000,113.25000000,3.87500000e+00
205,4.45312500,4.45312500,0.00000000e+00,160.12500000,154.25000000,5.87500000e+00
206,4.87500000,4.86718750,7.81250000e-03,-240.25000000,-248.00000000,7.75000000e+00
207,8.02343750,8.04687500,2.34375000e-02,515.50000000,498.00000000,1.75000000e+01
208,6.18750000,6.19921875,1.17187500e-02,-62.50000000,-60.53125000,1.96875000e+00
209,5.96093750,5.96093750,0.00000000e+00,-85.93750000,-91.81250000,5.87500000e+00
210,7.18359375,7.20703125,2.34375000e-02,-91.81250000,-84.00000000,7.81250000e+00
211,4.96875000,4.95703125,1.17187500e-02,-646.50000000,-654.50000000,8.00000000e+00
212,6.78125000,6.76562500,1.56250000e-02,406.25000000,386.75000000,1.95000000e+01
213,6.51171875,6.57812500,6.64062500e-02,128.87500000,154.25000000,2.53750000e+01
214,7.43750000,7.44140625,3.90625000e-03,527.50000000,527.50000000,0.00000000e+00
215,7.84765625,7.87109375,2.34375000e-02,283.25000000,287.00000000,3.75000000e+00
216,5.26171875,5.28125000,1.95312500e-02,-35.15625000,-27.34375000,7.81250000e+00
217,4.72656250,4.73437500,7.81250000e-03,365.25000000,359.25000000,6.00000000e+00
218,5.94140625,6.01562500,7.42187500e-02,230.50000000,269.50000000,3.90000000e+01
219,7.04687500,7.04687500,0.00000000e+00,590.00000000,586.00000000,4.00000000e+00
220,4.63281250,4.63281250,0.00000000e+00,-343.75000000,-351.50000000,7.75000000e+00
221,3.57812500,3.59765625,1.95312500e-02,-152.37500000,-144.50000000,7.87500000e+00
222,5.50390625,5.52343750,1.95312500e-02,-76.18750000,-70.31250000,5.87500000e+00
223,5.89062500,5.88281250,7.81250000e-03,-203.12500000,-207.00000000,3.87500000e+00
224,6.38281250,6.39453125,1.17187500e-02,302.75000000,322.25000000,1.95000000e+01
225,6.28515625,6.31250000,2.73437500e-02,181.62500000,179.62500000,2.00000000e+00
226,11.43750000,11.42187500,1.56250000e-02,464.75000000,461.00000000,3.75000000e+00
227,7.33593750,7.35156250,1.56250000e-02,-179.62500000,-175.75000000,3.87500000e+00
228,4.13281250,4.12500000,7.81250000e-03,97.62500000,94.75000000,2.87500000e+00
229,3.72656250,3.71484375,1.17187500e-02,-418.00000000,-439.50000000,2.15000000e+01
230,4.37500000,4.37109375,3.90625000e-03,-437.50000000,-421.75000000,1.57500000e+01
231,5.20312500,5.20312500,0.00000000e+00,-296.75000000,-304.75000000,8.00000000e+00
232,6.93750000,6.92968750,7.81250000e-03,-97.62500000,-105.43750000,7.81250000e+00
233,5.45703125,5.44921875,7.81250000e-03,-379.00000000,-380.75000000,1.75000000e+00
234,6.25781250,6.27343750,1.56250000e-02,218.75000000,269.50000000,5.07500000e+01
235,5.23828125,5.24218750,3.90625000e-03,130.87500000,126.93750000,3.93750000e+00
236,5.60546875,5.60937500,3.90625000e-03,-318.25000000,-306.75000000,1.15000000e+01
237,3.90625000,3.91796875,1.17187500e-02,-437.50000000,-431.75000000,5.75000000e+00
