================================================================================
DiZO PROFILING SUMMARY - facebook/opt-13b
================================================================================

Model: facebook/opt-13b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::_softmax         0.13%       2.725ms         0.20%       4.064ms      10.160us     800.000us         0.02%     800.000us       2.000us           0 b           0 b     100.66 Mb     100.66 Mb           400            --  
                                    aten::empty_strided         0.15%       3.153ms         0.15%       3.153ms       3.624us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      50.65 Mb      50.65 Mb           870            --  
                                        cudaMemcpyAsync         0.15%       3.137ms         0.15%       3.137ms       7.130us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           440            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.036s
Self CUDA time total: 3.649s


--- CUDA Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     157.000us       100.00%        2.036s     407.264ms       0.000us         0.00%        1.624s     324.874ms           0 b           0 b     -38.50 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.04%     883.000us        73.52%        1.497s     299.438ms       0.000us         0.00%        1.307s     261.329ms           0 b           0 b      75.17 Mb      -5.00 Kb             5            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     589.872ms        16.17%     589.872ms      44.650us           0 b           0 b           0 b           0 b         13211            --  
                                          aten::normal_         3.65%      74.276ms         9.99%     203.409ms      15.793us     575.273ms        15.77%     575.273ms      44.664us           0 b           0 b           0 b           0 b         12880            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     567.780ms        15.56%     567.780ms      24.398us           0 b           0 b           0 b           0 b         23272            --  
                                              aten::mul         6.42%     130.797ms        17.22%     350.596ms      15.277us     559.659ms        15.34%     559.659ms      24.386us     -29.36 Kb     -29.36 Kb     837.61 Gb     837.61 Gb         22950       450.030  
                                           aten::normal         2.27%      46.207ms        13.74%     279.891ms      21.731us       0.000us         0.00%     535.253ms      41.557us           0 b           0 b     476.00 Gb      -2.83 Gb         12880            --  
                                  zo_perturb_+eps_reset         0.00%       0.000us         0.00%       0.000us       0.000us     422.275ms        11.57%     422.275ms      84.455ms           0 b           0 b           0 b           0 b             5            --  
                                        zo_perturb_+eps         0.00%       0.000us         0.00%       0.000us       0.000us     422.138ms        11.57%     422.138ms      84.428ms           0 b           0 b           0 b           0 b             5            --  
                                       zo_perturb_-2eps         0.00%       0.000us         0.00%       0.000us       0.000us     421.719ms        11.56%     421.719ms      84.344ms           0 b           0 b           0 b           0 b             5            --  
                                        zo_perturb_+eps         3.38%      68.817ms        12.72%     258.948ms      51.790ms       0.000us         0.00%     397.976ms      79.595ms           0 b       8.28 Kb           0 b    -441.76 Gb             5            --  
                                  zo_perturb_+eps_reset         3.36%      68.397ms        12.73%     259.190ms      51.838ms       0.000us         0.00%     397.826ms      79.565ms           0 b       8.06 Kb           0 b    -439.17 Gb             5            --  
                                       zo_perturb_-2eps         3.38%      68.798ms        12.74%     259.523ms      51.905ms       0.000us         0.00%     397.646ms      79.529ms           0 b       8.65 Kb           0 b    -434.58 Gb             5            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     387.972ms        10.63%     387.972ms      27.659us           0 b           0 b           0 b           0 b         14027            --  
                                              zo_update         0.00%       0.000us         0.00%       0.000us       0.000us     336.095ms         9.21%     336.095ms      67.219ms           0 b           0 b           0 b           0 b             5            --  
                                        training_step_6         0.04%     786.000us        19.52%     397.439ms     397.439ms       0.000us         0.00%     328.443ms     328.443ms           0 b           0 b     -92.19 Mb    -113.67 Mb             1            --  
                                        training_step_5         0.02%     459.000us        19.22%     391.320ms     391.320ms       0.000us         0.00%     325.394ms     325.394ms           0 b           0 b      19.17 Mb           0 b             1            --  
                                        training_step_4         0.02%     471.000us        19.33%     393.688ms     393.688ms       0.000us         0.00%     325.222ms     325.222ms           0 b           0 b      13.81 Mb           0 b             1            --  
                                        training_step_2         0.02%     484.000us        21.05%     428.703ms     428.703ms       0.000us         0.00%     322.761ms     322.761ms           0 b           0 b      12.27 Mb           0 b             1            --  
                                        training_step_3         0.02%     467.000us        20.87%     425.015ms     425.015ms       0.000us         0.00%     322.550ms     322.550ms           0 b           0 b       8.44 Mb           0 b             1            --  
                                    zo_parameter_update         0.06%       1.122ms        15.97%     325.211ms      65.042ms       0.000us         0.00%     317.712ms      63.542ms           0 b           0 b           0 b     -50.00 Kb             5            --  
                                              zo_update         2.48%      50.556ms        15.92%     324.089ms      64.818ms       0.000us         0.00%     317.712ms      63.542ms           0 b       4.30 Kb      50.00 Kb    -319.81 Gb             5            --  
                                              aten::add         3.24%      65.899ms         6.81%     138.626ms      12.730us     285.271ms         7.82%     285.271ms      26.196us         -40 b         -40 b     359.35 Gb     359.35 Gb         10890       193.150  
                                           zo_forward_1         0.00%       0.000us         0.00%       0.000us       0.000us     216.272ms         5.93%     216.272ms      43.254ms           0 b           0 b           0 b           0 b             5            --  
                                           zo_forward_2         0.00%       0.000us         0.00%       0.000us       0.000us     172.892ms         4.74%     172.892ms      34.578ms           0 b           0 b           0 b           0 b             5            --  
                                              aten::sub         0.84%      17.145ms         4.17%      84.815ms      26.137us      94.306ms         2.58%      94.306ms      29.062us          -8 b          -8 b     118.29 Gb     118.29 Gb          3245            --  
                                           aten::linear         0.88%      17.949ms         5.94%     120.966ms      50.193us       0.000us         0.00%      88.484ms      36.715us           0 b           0 b       2.75 Gb      13.27 Mb          2410            --  
                                            aten::addmm         3.02%      61.527ms         4.44%      90.494ms      37.706us      87.560ms         2.40%      87.560ms      36.483us           0 b           0 b       2.67 Gb       2.67 Gb          2400     19528.679  
                                           zo_forward_1         2.81%      57.213ms        18.73%     381.333ms      76.267ms       0.000us         0.00%      56.614ms      11.323ms           0 b        -480 b      37.21 Mb      -3.75 Gb             5            --  
                                           zo_forward_2         2.78%      56.526ms        16.55%     336.999ms      67.400ms       0.000us         0.00%      56.565ms      11.313ms           0 b        -460 b      37.96 Mb      -3.73 Gb             5            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us      38.958ms         1.07%      38.958ms      32.465us           0 b           0 b           0 b           0 b          1200            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us      30.622ms         0.84%      30.622ms      31.898us           0 b           0 b           0 b           0 b           960            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x25...         0.00%       0.000us         0.00%       0.000us       0.000us       9.987ms         0.27%       9.987ms      62.419us           0 b           0 b           0 b           0 b           160            --  
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816g...         0.00%       0.000us         0.00%       0.000us       0.000us       7.993ms         0.22%       7.993ms      99.912us           0 b           0 b           0 b           0 b            80            --  
                                       aten::layer_norm         0.10%       2.072ms         1.30%      26.496ms      32.711us       0.000us         0.00%       7.488ms       9.244us           0 b           0 b     634.77 Mb    -594.50 Kb           810            --  
