================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::log_softmax         0.00%      56.000us         0.02%     217.000us      21.700us       0.000us         0.00%      99.000us       9.900us           0 b           0 b      70.90 Mb       4.16 Mb            10            --  
                                          aten::resize_         0.01%     126.000us         0.01%     126.000us       3.150us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.28 Mb       2.28 Mb            40            --  
                                              aten::max         0.05%     625.000us         0.49%       5.703ms      23.762us       0.000us         0.00%     799.000us       3.329us           0 b           0 b      12.09 Mb       1.06 Mb           240            --  
                                          aten::softmax         0.05%     555.000us         0.31%       3.633ms      15.137us       0.000us         0.00%     436.000us       1.817us           0 b           0 b      24.16 Mb     399.50 Kb           240            --  
                                               aten::to         0.08%     955.000us         1.32%      15.284ms      25.905us       0.000us         0.00%     579.000us       0.981us        -136 b         -88 b      12.23 Mb     282.00 Kb           590            --  
                                 aten::nll_loss_forward         0.01%     139.000us         0.02%     198.000us      19.800us      20.000us         0.00%      20.000us       2.000us           0 b           0 b      10.00 Kb      10.00 Kb            10            --  
                                           aten::cumsum         0.01%     122.000us         0.01%     172.000us      17.200us      16.000us         0.00%      16.000us       1.600us           0 b           0 b       8.00 Kb       8.00 Kb            10            --  
                                               aten::lt         0.01%     123.000us         0.02%     176.000us      17.600us      18.000us         0.00%      18.000us       1.800us           0 b           0 b       7.00 Kb       7.00 Kb            10            --  
                                               aten::eq         0.01%     166.000us         0.02%     218.000us      21.800us      10.000us         0.00%      10.000us       1.000us           0 b           0 b       5.00 Kb       5.00 Kb            10            --  
                                              aten::div         0.01%      60.000us         0.01%      88.000us      17.600us       5.000us         0.00%       5.000us       1.000us          -8 b          -8 b       2.50 Kb       2.50 Kb             5            --  
                                          ProfilerStep*         0.01%     132.000us       100.00%        1.159s     231.781ms       0.000us         0.00%      87.428ms      17.486ms           0 b           0 b      75.79 Mb           0 b             5            --  
                                        training_step_2         0.04%     473.000us        29.49%     341.733ms     341.733ms       0.000us         0.00%      17.404ms      17.404ms           0 b           0 b      12.27 Mb           0 b             1            --  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.51%       5.960ms         0.77%       8.897ms       1.779ms       0.000us         0.00%       0.000us       0.000us       6.06 Kb           0 b           0 b           0 b             5            --  
                                             aten::full         0.23%       2.672ms         0.24%       2.822ms     141.100us       0.000us         0.00%       6.000us       0.300us       6.06 Kb           0 b      18.00 Kb           0 b            20            --  
                                            aten::fill_         0.03%     359.000us         0.05%     627.000us       8.957us      39.000us         0.00%      39.000us       0.557us         296 b         296 b           0 b           0 b            70            --  
                                           aten::select         0.02%     185.000us         0.02%     198.000us       2.475us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            80            --  
                                       aten::as_strided         0.08%     916.000us         0.08%     916.000us       0.307us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2980            --  
                                            aten::slice         0.03%     296.000us         0.03%     326.000us       1.918us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           170            --  
