================================================================================
BASELINE ADAMW PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Max Length: 512
Steps: 5
Dtype: float16
torch.compile: False

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        training_step_3         0.05%     547.000us        18.28%     208.792ms     208.792ms       0.000us         0.00%      84.491ms      84.491ms         704 b           0 b           0 b           0 b             1            --  
sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us      79.742ms         6.62%      79.742ms      82.634us           0 b           0 b           0 b           0 b           965            --  
void cutlass::Kernel<cutlass_80_simt_sgemm_256x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us      76.365ms         6.34%      76.365ms      98.918us           0 b           0 b           0 b           0 b           772            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      66.280ms         5.50%      66.280ms      86.302us           0 b           0 b           0 b           0 b           768            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      65.214ms         5.42%      65.214ms      46.317us           0 b           0 b           0 b           0 b          1408            --  
                                    aten::_foreach_mul_         0.57%       6.459ms         0.83%       9.448ms     944.800us      59.285ms         4.92%      59.285ms       5.928ms           0 b           0 b           0 b           0 b            10            --  
                                aten::_foreach_addcdiv_         0.29%       3.324ms         0.91%      10.434ms       2.087ms      55.240ms         4.59%      55.240ms      11.048ms           0 b           0 b           0 b           0 b             5            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      49.701ms         4.13%      49.701ms      64.715us           0 b           0 b           0 b           0 b           768            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      42.058ms         3.49%      42.058ms      63.918us           0 b           0 b           0 b           0 b           658            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      41.445ms         3.44%      41.445ms      53.965us           0 b           0 b           0 b           0 b           768            --  
                                aten::_foreach_addcmul_         0.26%       3.005ms         0.41%       4.640ms     928.000us      41.407ms         3.44%      41.407ms       8.281ms           0 b           0 b           0 b           0 b             5            --  
                                   aten::_foreach_lerp_         0.13%       1.532ms         0.26%       2.983ms     596.600us      40.937ms         3.40%      40.937ms       8.187ms           0 b           0 b           0 b           0 b             5            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      37.462ms         3.11%      37.462ms      48.779us           0 b           0 b           0 b           0 b           768            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      35.564ms         2.95%      35.564ms      46.307us           0 b           0 b           0 b           0 b           768            --  
                                    aten::_foreach_div_         0.27%       3.056ms         0.40%       4.581ms     916.200us      34.473ms         2.86%      34.473ms       6.895ms           0 b           0 b           0 b           0 b             5            --  
                                    aten::_foreach_sqrt         0.51%       5.800ms         1.34%      15.311ms       3.062ms      31.212ms         2.59%      31.212ms       6.242ms           0 b           0 b      49.93 Gb           0 b             5            --  
void cutlass::Kernel<cutlass_80_simt_sgemm_256x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us      31.160ms         2.59%      31.160ms     243.438us           0 b           0 b           0 b           0 b           128            --  
                                    aten::_foreach_add_         0.57%       6.468ms         0.70%       8.042ms     804.200us      29.637ms         2.46%      29.637ms       2.964ms           0 b           0 b           0 b           0 b            10            --  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x32...         0.00%       0.000us         0.00%       0.000us       0.000us      26.240ms         2.18%      26.240ms     164.000us           0 b           0 b           0 b           0 b           160            --  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us      23.884ms         1.98%      23.884ms      41.465us           0 b           0 b           0 b           0 b           576            --  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us      23.168ms         1.92%      23.168ms     144.800us           0 b           0 b           0 b           0 b           160            --  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      14.048ms         1.17%      14.048ms      87.800us           0 b           0 b           0 b           0 b           160            --  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x256_8...         0.00%       0.000us         0.00%       0.000us       0.000us      12.683ms         1.05%      12.683ms     396.344us           0 b           0 b           0 b           0 b            32            --  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize32x64x...         0.00%       0.000us         0.00%       0.000us       0.000us      11.714ms         0.97%      11.714ms     183.031us           0 b           0 b           0 b           0 b            64            --  
       autograd::engine::evaluate_function: MmBackward0         0.01%      70.000us         0.13%       1.434ms     286.800us       0.000us         0.00%       7.260ms       1.452ms           0 b           0 b       2.30 Gb    -105.61 Mb             5            --  
                                            MmBackward0         0.01%     108.000us         0.12%       1.364ms     272.800us       0.000us         0.00%       7.260ms       1.452ms           0 b           0 b       2.40 Gb           0 b             5            --  
                                              aten::sum         1.09%      12.504ms         1.38%      15.798ms      16.456us       5.450ms         0.45%       5.450ms       5.677us           0 b           0 b      14.06 Mb      14.06 Mb           960            --  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.450ms         0.45%       5.450ms       5.677us           0 b           0 b           0 b           0 b           960            --  
sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us       5.360ms         0.45%       5.360ms      82.462us           0 b           0 b           0 b           0 b            65            --  
                                              aten::bmm         1.62%      18.477ms         2.16%      24.633ms      25.659us       4.749ms         0.39%       5.298ms       5.519us           0 b           0 b     858.54 Mb     858.54 Mb           960     16927.949  
autograd::engine::evaluate_function: NativeLayerNorm...         0.39%       4.492ms         1.62%      18.541ms      57.049us       0.000us         0.00%       5.090ms      15.662us           0 b           0 b    -665.85 Mb      -1.35 Gb           325            --  
                                            aten::copy_         1.00%      11.425ms         8.70%      99.425ms      58.485us       3.547ms         0.29%       4.893ms       2.878us           4 b           4 b           0 b           0 b          1700            --  
                       aten::native_layer_norm_backward         0.33%       3.821ms         0.80%       9.117ms      28.052us       4.441ms         0.37%       4.441ms      13.665us           0 b           0 b     367.51 Mb           0 b           325            --  
                               NativeLayerNormBackward0         0.15%       1.701ms         0.93%      10.604ms      32.628us       0.000us         0.00%       4.329ms      13.320us           0 b           0 b     367.51 Mb       7.73 Mb           325            --  
                                              aten::add         1.10%      12.545ms         1.40%      15.954ms      16.280us       3.704ms         0.31%       3.852ms       3.931us          -8 b          -8 b       3.29 Gb       3.29 Gb           980       877.087  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.142s
Self CUDA time total: 1.204s


--- Memory Usage ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         3.02%      34.494ms         4.17%      47.674ms      24.638us     172.256ms        14.30%     172.256ms      89.021us           0 b           0 b      51.57 Gb      51.57 Gb          1935   5679377.940  
                                    aten::empty_strided         0.98%      11.139ms         0.98%      11.139ms       3.116us       0.000us         0.00%       0.000us       0.000us         396 b         396 b      50.34 Gb      50.34 Gb          3575            --  
                                          backward_pass        26.11%     298.206ms        26.13%     298.457ms      59.691ms       0.000us         0.00%       3.000us       0.600us      -1.25 Kb      -1.25 Kb      47.74 Gb      47.74 Gb             5            --  
                                            aten::empty         1.19%      13.609ms         1.34%      15.354ms       3.736us       0.000us         0.00%       0.000us       0.000us       9.10 Kb       9.10 Kb       5.16 Gb       5.16 Gb          4110            --  
                                              aten::add         1.10%      12.545ms         1.40%      15.954ms      16.280us       3.704ms         0.31%       3.852ms       3.931us          -8 b          -8 b       3.29 Gb       3.29 Gb           980       877.087  
                                            aten::addmm         2.16%      24.719ms         3.45%      39.369ms      41.009us     141.116ms        11.72%     143.455ms     149.432us           0 b           0 b       1.47 Gb       1.47 Gb           960   2637378.355  
                                              aten::bmm         1.62%      18.477ms         2.16%      24.633ms      25.659us       4.749ms         0.39%       5.298ms       5.519us           0 b           0 b     858.54 Mb     858.54 Mb           960     16927.949  
                                        aten::clamp_min         0.13%       1.485ms         0.19%       2.155ms      13.469us     447.000us         0.04%     447.000us       2.794us           0 b           0 b     658.70 Mb     658.70 Mb           160            --  
                               aten::threshold_backward         0.13%       1.499ms         0.20%       2.252ms      14.075us     755.000us         0.06%     755.000us       4.719us           0 b           0 b     657.95 Mb     657.95 Mb           160            --  
                               aten::embedding_backward         0.01%      93.000us         0.03%     340.000us      34.000us       0.000us         0.00%     680.000us      68.000us           0 b           0 b       2.49 Gb     510.96 Mb            10            --  
                                              aten::mul         0.42%       4.749ms         0.58%       6.639ms      13.689us     709.000us         0.06%     867.000us       1.788us           0 b           0 b     449.59 Mb     449.59 Mb           485       103.486  
                                       aten::empty_like         0.38%       4.349ms         1.22%      13.940ms       6.155us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.19 Gb     150.27 Mb          2265            --  
                                aten::nll_loss_backward         0.02%     275.000us         0.07%     817.000us     163.400us      11.000us         0.00%      44.000us       8.800us           0 b           0 b      97.51 Mb      97.51 Mb             5            --  
                                     aten::_log_softmax         0.01%      77.000us         0.01%     107.000us      21.400us     117.000us         0.01%     117.000us      23.400us           0 b           0 b      96.65 Mb      96.65 Mb             5            --  
                       aten::_log_softmax_backward_data         0.01%     165.000us         0.02%     205.000us      41.000us     139.000us         0.01%     139.000us      27.800us           0 b           0 b      96.65 Mb      96.65 Mb             5            --  
                                          aten::resize_         0.05%     565.000us         0.05%     565.000us       3.139us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      90.02 Mb      90.02 Mb           180            --  
                                         aten::_softmax         0.14%       1.620ms         0.19%       2.214ms      13.838us     348.000us         0.03%     525.000us       3.281us           0 b           0 b      74.34 Mb      74.34 Mb           160            --  
                                       aten::contiguous         0.14%       1.592ms         0.86%       9.791ms      19.982us       0.000us         0.00%       1.570ms       3.204us           0 b           0 b     591.58 Mb      71.99 Mb           490            --  
                                          aten::maximum         0.16%       1.821ms         0.23%       2.623ms      16.394us     356.000us         0.03%     371.000us       2.319us           0 b           0 b      70.02 Mb      70.02 Mb           160            --  
                                          ViewBackward0         0.48%       5.489ms         2.41%      27.477ms       9.009us       0.000us         0.00%       1.537ms       0.504us           0 b           0 b     680.66 Mb      69.11 Mb          3050            --  
                                              aten::div         0.18%       2.111ms         0.24%       2.693ms      16.831us     163.000us         0.01%     163.000us       1.019us         368 b         368 b      67.84 Mb      67.84 Mb           160            --  
                                           aten::linear         0.65%       7.463ms         4.69%      53.518ms      55.459us       0.000us         0.00%     141.895ms     147.041us           0 b           0 b       1.57 Gb      56.99 Mb           965            --  
                                          aten::dropout         0.11%       1.258ms         0.84%       9.596ms      19.992us       0.000us         0.00%       1.129ms       2.352us           0 b           0 b     413.50 Mb      33.69 Mb           480            --  
                                          ReluBackward0         0.04%     468.000us         0.23%       2.637ms      16.481us       0.000us         0.00%     731.000us       4.569us           0 b           0 b     657.95 Mb      19.84 Mb           160            --  
                                 NativeDropoutBackward0         0.06%     725.000us         0.49%       5.549ms      17.341us       0.000us         0.00%     549.000us       1.716us           0 b           0 b     385.11 Mb      18.13 Mb           320            --  
                                               aten::lt         0.20%       2.286ms         0.35%       3.953ms      12.163us     393.000us         0.03%     396.000us       1.218us         628 b         -40 b      16.83 Mb      16.83 Mb           325            --  
                                               aten::eq         0.11%       1.277ms         0.16%       1.819ms      11.024us     598.000us         0.05%     598.000us       3.624us           0 b           0 b      16.83 Mb      16.83 Mb           165            --  
                                           BmmBackward0         0.31%       3.574ms         1.72%      19.686ms      61.519us       0.000us         0.00%       3.095ms       9.672us           0 b           0 b     621.78 Mb      16.53 Mb           320            --  
                                       aten::layer_norm         0.09%       1.029ms         0.96%      10.975ms      33.769us       0.000us         0.00%       1.957ms       6.022us           0 b           0 b     337.12 Mb      15.41 Mb           325            --  
                                              aten::sum         1.09%      12.504ms         1.38%      15.798ms      16.456us       5.450ms         0.45%       5.450ms       5.677us           0 b           0 b      14.06 Mb      14.06 Mb           960            --  
                                         SliceBackward0         0.02%     176.000us         0.10%       1.099ms     109.900us       0.000us         0.00%     197.000us      19.700us           0 b           0 b     198.00 Mb       8.44 Mb            10            --  
                               NativeLayerNormBackward0         0.15%       1.701ms         0.93%      10.604ms      32.628us       0.000us         0.00%       4.329ms      13.320us           0 b           0 b     367.51 Mb       7.73 Mb           325            --  
                                           MulBackward0         0.04%     503.000us         0.19%       2.202ms      13.762us       0.000us         0.00%     308.000us       1.925us           0 b           0 b     185.79 Mb       6.46 Mb           160            --  
                                              aten::max         0.03%     286.000us         0.25%       2.808ms      17.550us       0.000us         0.00%     359.000us       2.244us           0 b           0 b      70.02 Mb       1.12 Mb           160            --  
